CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-OH-WFD|-|20161025|6|11792.50|34.8300|410732.78||10172104|รับเงินงวดที่ 1 FY2017 (Chq.10172104=400,945)+(Chq.10172134=9,787.78)|20170109|DGHP-OHWFD|20170220|DGHP-OHWFD
1|DGHP-OH-WFD|-|20161228|2|21369.50|35.7600|764173.32||10172190|รับเงินงวดที่ 2 FY2017|20170109|DGHP-OHWFD|20170220|DGHP-OHWFD
1|DGHP-OH-WFD|-|20170503|1|8000.00|34.2788|274230.40||10181855|รับเงินงวดที่ 3 FY2017|20170619|DGHP-OHWFD|20170619|DGHP-OHWFD
