CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-VENetwork|-|20161025|5|88644.60|34.8300|3087491.42||10170087,10170099| 1st Draw Down  เงินส่วนต่างอัตราแลกเปลี่ยน 0.83 บาท/เหรียญสหรัฐ|20170106|FLU-VENetwork|20170126|FLU-VENetwork
1|FLU-VENetwork|-|20161228|4|47177.40|35.7600|1687063.82||10172010|2nd Draw Down เงินส่วนต่างอัตราแลกเปลี่ยน 1.76 บาท/เหรียญสหรัฐ|20170106|FLU-VENetwork|20170126|FLU-VENetwork
1|FLU-VENetwork|-|20170428|1|154000.00|34.2788|5278935.20||10172021|3rd|20170605|flu-venetwork|20170605|flu-venetwork
