CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|CU1-MOPH|-|20161025|3|37641.60|34.8300|1311056.93||10170085, 0097|รับเงินงวดที่ 1|20170204|cu1-moph|20170930|cu1-moph
1|CU1-MOPH|-|20161228|1|34639.40|34.8300|1206490.30||10172008|รับเงินงวดที่ 2|20170204|cu1-moph|20170204|cu1-moph
1|CU1-MOPH|-|20170428|1|73000.00|34.2788|2502352.40||10172019|รับเงินงวดที่ 3|20170603|cu1-moph|20170930|cu1-moph
1|CU1-MOPH|-|20170726|2|40522.00|34.2788|1389045.53||10172031|รับเงินงวดที่ 3 ครั้งที่ 2|20170731|cu1-moph|20170930|cu1-moph
