CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|NCD-RTI|-|0|||0.00|0.00|641512.00|0.00||||
1|NCD-RTI|-|1|1|20170314|0.00|0.00|641512.00|0.00|20170322|NCD-RTI|20170322|NCD-RTI
1|NCD-RTI|-|2|2|20170607|0.00|0.00|641512.00|0.00|20170808|NCD-RTI|20170808|NCD-RTI
1|NCD-RTI|-|3|Exchange gains|20170707|0.00|0.00|641512.00|25322.15|20170928||20170928|
2|NCD-RTI|-|0|||98517.22|0.00|0.00|0.00||||
