CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-MOPH-EOC|-|20161025|3|29717.10|34.8300|1035046.60||10172103, 10172133|เงินรับงวดที่ 1|20170117|DGHP-EOC|20170130|DGHP-EOC
1|DGHP-MOPH-EOC|-|20161228|1|18916.90|35.7600|676468.34||10172189|เงินรับงวดที่ 2|20170117|DGHP-EOC|20170117|DGHP-EOC
1|DGHP-MOPH-EOC|-|20170428|4|8000.00|34.2788|274230.40||10181854|เงินรับงวดที่ 3|20170609|DGHP-EOC|20170609|DGHP-EOC
