CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-EIGNA|-|20161025|7|66571.50|34.8300|2318685.35||10172106+136|Draw down ครั้งที่ 1+เงินส่วนต่างอัตราแลกเปลี่ยน|20170204|DGHP-EIGNA|20170204|DGHP-EIGNA
1|DGHP-EIGNA|-|20161228|2|130036.50|35.7600|4650105.24||10172192|Draw down ครั้งที่ 2+เงินส่วนต่างอัตราแลกเปลี่ยน|20170204|DGHP-EIGNA|20170204|DGHP-EIGNA
1|DGHP-EIGNA|-|20170707|1|50000.00|33.7900|1689500.00||10181884|Draw down ครั้งที่ 3|20170727|DGHP-EIGNA|20170727|DGHP-EIGNA
