CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|LAB-Strategy|-|0|||0.00|0.00|700000.00|0.00||||
1|LAB-Strategy|-|1|1|20170509|0.00|0.00|700000.00|0.00|20170606||20170606|
2|LAB-Strategy|-|0|||128878.72|20884.16|748000.00|0.00||||
