CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGMQ-NR5|-|20161025|5|15141.59|34.8300|527381.52||10172109,10172139|งวดที่ 1 (อัตราแลกเปลี่ยน 0.83/USD - 12,567.52 บาท/เลขที่เช็ค 10172139)|20171230|dgmq-nr5|20170921|dgmq-nr5
1|DGMQ-NR5|-|20161228|8|13035.41|35.7600|466146.32||10172195|งวดที่ 2 (อัตราแลกเปลี่ยน 1.76/USD -  22,942.32 บาท)|20170127|dgmq-nr5|20170705|dgmq-nr5
1|DGMQ-NR5|-|20170320|3|2226.00|35.7600|79601.76||10181823|งวดที่ 2 (เพิ่มเติม) (อัตราแลกเปลี่ยน 1.76/USD - 3,917.76 บาท)|20170403|dgmq-nr5|20170705|dgmq-nr5
1|DGMQ-NR5|-|20170428|4|18000.00|34.2788|617018.40||10181858|งวดที่ 3  (อัตราแลกเปลี่ยน 0.28/USD - 5,040 บาท)|20170428|dgmq-nr5|20170705|dgmq-nr5
1|DGMQ-NR5|-|20170707|1|2069.00|33.7900|69911.51||10181886|งวดที่ 4|20170711|dgmq-nr5|20170711|dgmq-nr5
