CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|YMSM-Cascade|-|20161025|1|12352.94|34.8300|430252.90||10170108|#10172118 จำนวน 10252.94 บาท เงินงวดที่ 1|20170206|YMSM-Cascade|20170206|YMSM-Cascade
1|YMSM-Cascade|-|20161228|1|8206.06|35.7600|293448.70||10172167|เงินงวดที่ 2|20170206|YMSM-Cascade|20170206|YMSM-Cascade
1|YMSM-Cascade|-|20170428|1|22000.00|34.2788|754133.60||10181834|เงินงวดที่ 3|20170504|ymsm-cascade|20170504|ymsm-cascade
1|YMSM-Cascade|-|20170707|1|4000.00|33.7900|135160.00||10181867|เงินงวดที่ 4|20170731|ymsm-cascade|20170731|ymsm-cascade
