CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|HSRP-YMSM|-|20161025|7|91444.20|34.8300|3185001.48||101170083/ 10170095|#10170083 for rate 34Baht=3,109,102.80 B, and #10170095 for rate 0.83 Baht=75,898.68 Baht.|20170207|hsrp-ymsm|20170921|hsrp-ymsm
1|HSRP-YMSM|-|20170731|1|40492.80|34.2788|1388044.60||10172029||20170810|hsrp-ymsm|20170810|hsrp-ymsm
1|HSRP-YMSM|-|20170830|2|28877.00|34.2788|989868.91||10172036|rate 34.2788|20170914|hsrp-ymsm|20170914|hsrp-ymsm
