CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|CEI-R|-|0|||0.00|0.00|1190000.00|0.00||||
1|CEI-R|-|1|Exchange gains|20170726|0.00|0.00|1190000.00|21410.42|20170911|cei1|20170911|cei1
2|CEI-R|-|0|||28160.42|0.00|1190000.00|0.00||||
