CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|GAP-CB|-|20161025|1|8995.91|34.8300|313327.40||10170110|1st Draw Down (Appreciation Fund 7,466.60 Baht #10172120)|20170208|gap-cb|20170208|gap-cb
1|GAP-CB|-|20161228|2|7440.09|35.7600|266057.77||10172173|2nd Draw Down|20170208|gap-cb|20170208|gap-cb
1|GAP-CB|-|20170428|1|12000.00|34.2788|411345.60||10181840|3rd Draw Down|20170523|gap-cb|20170523|gap-cb
1|GAP-CB|-|20170707|1|1381.71|33.7900|46687.98||10181871|4rd Draw Down|20170815|gap-cb|20170815|gap-cb
