CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|LAB-Strategy|-|20161108|2|3088.24|34.8300|107563.24||10172149, 10172150|1st Draw down|20170206|LAB-STRATEGY|20170206|LAB-STRATEGY
1|LAB-Strategy|-|20161228|3|7885.76|35.7600|281994.95||10172172|2nd Draw down|20170206|LAB-STRATEGY|20170206|LAB-STRATEGY
1|LAB-Strategy|-|20170428|1|8000.00|34.2788|274230.40||10181839|3rd Draw down|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|20170707|1|1000.00|33.7900|33790.00||10181870|4th Draw down|20170803|Lab-Strategy|20170803|Lab-Strategy
