CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-OH|-|20161025|2|21226.47|34.8300|739317.97||10172105,135|เงิน Draw down ครั้งที่ 1|20170203|DGHP-OH|20170207|dghp-oh
1|DGHP-OH|-|20161228|2|43455.53|35.7600|1553969.73||10172191|เงิน Draw down ครั้งที่ 2|20171025|DGHP-OH|20171025|DGHP-OH
1|DGHP-OH|-|20170707|2|12500.00|33.7900|422375.00||10181883|เงิน Draw down ครั้งที่ 3|20171025|DGHP-OH|20171025|DGHP-OH
