CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-Farmer|-|20161025|4|7165.59|34.8300|249577.44||10172101,10172131| 1st draw down|20170120|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|20161228|1|27938.41|35.7600|999077.60||10172187|2 nd draw down|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|20170428|1|10000.00|34.2800|342788.00||10181852|3 rd draw down|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|20170707|1|2066.00|33.7900|69810.14||10181882|4th dd|20170803||20170803|
